/home/glebapika/my_python_env/lib/python3.12/site-packages/amuse/support/options.py:11: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  import pkg_resources
======================================================================
ARCHES CLUSTER SIMULATION WITH REALISTIC COLLISION PHYSICS AND GAS FRICTION
======================================================================

======================================================================
ЗАПУСК КАСКАДА ИЗ 19 ЦИКЛОВ
======================================================================

======================================================================
ЗАПУСК МНОГОЦИКЛИЧНОЙ СИМУЛЯЦИИ (19 циклов)
======================================================================

======================================================================
ЦИКЛ СИМУЛЯЦИИ 1/19
======================================================================
Результаты будут сохранены в: simulation_results/run_20251229_225911
Запуск симуляции...

1. BUILDING STAR POPULATION...
   Initial stars: 856
   Total mass: 25983 Msun

2. INITIALIZING CLUSTER STRUCTURE...
   Cluster radius: 0.200 pc

3. SETTING ORBITAL MOTION AROUND GALACTIC CENTER...

4. INITIALIZING PH4 FOR CLUSTER GRAVITY...
   PH4 initialized with 3 workers

5. INITIALIZING STELLAR EVOLUTION...
   Stellar evolution initialized for 856 stars

6. INITIALIZING GALACTIC POTENTIAL...

6b. INITIALIZING GAS DYNAMICAL FRICTION...
   Gas friction enabled: True
   Gas density profile: central_molecular_zone
   Drag coefficient: 1
   Coulomb logarithm: 8.0

7. SETTING UP BRIDGE INTEGRATOR WITH GAS FRICTION...
   Bridge timestep: 0.001000 Myr
   Gas friction integrated: True

8. INITIALIZING REALISTIC COLLISION HANDLER...

9. SETTING UP DIAGNOSTICS SYSTEM...

======================================================================
STARTING MAIN SIMULATION LOOP
======================================================================

Initial setup:
  Number of stars: 856
  Total mass: 25982.9 Msun

Simulation Progress:
Step | Time [Myr] | N_stars | BH | NS | WD | Merged | VMS | R_cluster [pc] | σ_v [km/s] | F_fric [km/s/Myr] | Collisions
----------------------------------------------------------------------------------------------------------------------------------
    10 |  0.0100 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1445 |   6.7 |  1.714e-03 |    0
    20 |  0.0200 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1543 |   6.9 |  1.644e-03 |    0
    30 |  0.0300 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1587 |   6.7 |  1.654e-03 |    0
    40 |  0.0400 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1526 |   6.6 |  1.651e-03 |    0
    50 |  0.0500 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1445 |   7.1 |  1.650e-03 |    0
    60 |  0.0600 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1504 |   6.7 |  1.622e-03 |    0
    70 |  0.0700 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1524 |   6.7 |  1.655e-03 |    0
    80 |  0.0800 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1551 |   6.8 |  1.622e-03 |    0
    90 |  0.0900 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1575 |   6.8 |  1.622e-03 |    0
   100 |  0.1000 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1529 |   6.9 |  1.602e-03 |    0
   110 |  0.1100 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1536 |   7.1 |  1.608e-03 |    0
   120 |  0.1200 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1563 |   6.7 |  1.590e-03 |    0
   130 |  0.1300 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1647 |   6.9 |  1.595e-03 |    0
   140 |  0.1400 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1591 |   6.8 |  1.588e-03 |    0
   150 |  0.1500 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1543 |   7.2 |  1.582e-03 |    0
   160 |  0.1600 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1570 |   6.8 |  1.599e-03 |    0
   170 |  0.1700 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1586 |   6.9 |  1.556e-03 |    0
   180 |  0.1800 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1534 |   7.1 |  1.564e-03 |    0
   190 |  0.1900 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1530 |   7.1 |  1.568e-03 |    0
   200 |  0.2000 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1543 |   6.7 |  1.525e-03 |    0
   210 |  0.2100 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1573 |   6.7 |  1.523e-03 |    0
   220 |  0.2200 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1466 |   6.9 |  1.504e-03 |    0
   230 |  0.2300 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1475 |   7.1 |  1.493e-03 |    0
   240 |  0.2400 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1548 |   6.9 |  1.478e-03 |    0
   250 |  0.2500 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1581 |   6.6 |  1.499e-03 |    0
   260 |  0.2600 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1506 |   7.1 |  1.481e-03 |    0
   270 |  0.2700 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1493 |   7.0 |  1.471e-03 |    0
   280 |  0.2800 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1453 |   7.1 |  1.456e-03 |    0
   290 |  0.2900 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1515 |   6.9 |  1.446e-03 |    0
   300 |  0.3000 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1582 |   6.8 |  1.432e-03 |    0
   310 |  0.3100 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1571 |   7.0 |  1.418e-03 |    0
   320 |  0.3200 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1456 |   7.3 |  1.435e-03 |    0
   330 |  0.3300 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1523 |   7.0 |  1.411e-03 |    0
   340 |  0.3400 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1599 |   6.9 |  1.391e-03 |    0
   350 |  0.3500 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1534 |   7.0 |  1.389e-03 |    0
   360 |  0.3600 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1455 |   7.3 |  1.364e-03 |    0
   370 |  0.3700 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1555 |   6.8 |  1.359e-03 |    0
   380 |  0.3800 |     856 |  0 |  0 |  0 |      0 |   0 |   0.1558 |   7.0 |  1.323e-03 |    0
